Message,Duration (s)
No Shirt No Shoes No Service,87.49
No Shirt No Shoes No Service,44.06
Sending you and your family many thoughts and prayers. God bless!,144.93
So then can we now sue them for all the  stress they’ve given,154.12
They need to be slapped with the constitution and thrown in jail,165.31
“Wood Chipper” Death Penalty for everyone involved.,143.17
If the Military doesn't do something I may not be able to control myself.,155.38
If the Military doesn't do something I may not be able to control myself.,18.18
